Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id,,
162.5039999,634,46.3621375,-12.2732411,-73.68511199,2.120086866,-54.52468787,39.86496955,-209.3000357,-357.8955381,-109.8638306,-13.22142429,-1.4574537,-79.80405823,0,-94.61387437,-7.826696502,0,,,
162.5119999,634,-81.21126486,-61.48079341,20.68881869,-3.315617111,-12.21734519,-52.76547101,234.7412049,210.5574947,-91.01465035,28.31465649,-16.16172175,-26.67094481,0,-59.09534962,-281.3374135,0,,,
162.5199999,634,208.5232502,5.196550282,-9.369591284,-28.66030992,-67.45087869,4.443033338,-86.61749825,-176.5048607,186.5734333,-16.37334198,-44.99799851,85.08290619,0,97.34512848,377.8917508,0,,,
162.5279999,634,-132.5895993,-48.39861898,-51.19116143,23.11603323,-27.50774321,19.1179608,-51.16568158,-164.9745316,-278.7649226,22.17313948,35.53331781,-127.6503456,0,-170.3815826,-393.0621694,0,,,
162.5359999,634,93.59511849,-49.24324383,48.44857896,-51.15721284,-51.69550137,-84.10164704,216.6858053,195.6780132,184.1112831,-2.562598112,-65.43712426,99.66300701,0,101.9296806,179.1815143,0,,,
162.5439999,634,75.08016828,0.34519605,-74.0525265,2.305267798,-61.36327357,54.80847079,-258.3845818,-405.5244465,-79.83477383,-21.18889665,5.66288901,-65.11225823,0,-76.44399967,82.49751166,0,,,
162.5519999,634,-122.114277,-73.80159054,10.18877933,-8.242946152,-14.97541068,-55.87801767,214.4324443,194.5205931,-137.7031998,24.2809931,0.129952867,-49.50774836,0,-94.89495029,-340.9416718,0,,,
162.5599999,635,210.8359574,-3.362090595,-9.789921427,-42.90209053,-65.71277621,-12.75494735,-76.96120466,-145.9118101,213.0193921,-23.85662155,-53.04720313,96.81417489,0,111.2071197,431.8498838,0,,,
162.5679999,635,-141.5466924,-48.85683398,-68.08250293,25.73116305,-17.5393696,27.37108472,-89.48455639,-198.1920218,-307.2860965,16.8308345,38.51046729,-148.3525099,0,-185.362114,-395.968971,0,,,
162.5759999,635,88.07701897,-50.33316975,47.76316029,-46.58289533,-40.25184766,-79.28459298,233.5616324,237.8602409,180.6889344,-1.23789861,-61.53509363,95.15175836,0,107.7299598,166.8118924,0,,,
162.5839999,635,88.85469688,15.70217879,-77.48963775,13.69402068,-51.60570033,79.91881254,-279.1336996,-407.9319597,-74.09020158,-9.876856352,16.20328341,-56.96733917,0,-56.67348555,96.70535144,0,,,
162.5919999,635,-141.1434869,-72.4123695,2.954321016,-2.469268359,-10.14501352,-43.58895565,211.0395747,194.9962076,-156.6213128,32.86965879,2.353582241,-55.28867932,0,-97.47992142,-388.0289002,0,,,
162.5999999,635,211.8565373,-0.205906106,-12.01534422,-38.7639522,-64.68365805,-18.90051256,-68.20575155,-128.1650269,232.0581437,-25.40578766,-59.35579831,104.6201055,0,125.2249402,429.6914364,0,,,
162.6079999,635,-137.2715188,-35.14924301,-76.06300795,35.54479533,-9.90206666,29.45797014,-108.7964251,-208.9477402,-301.5290068,26.72121325,52.50637332,-136.6749334,0,-179.3835557,-427.5370903,0,,,
162.6159999,635,70.63276701,-65.47458469,36.13860455,-66.37542863,-46.41122349,-98.59714903,247.3404778,252.3444384,189.9435948,-5.552106762,-72.10207994,103.3721423,0,95.46240633,130.3638446,0,,,
162.6239999,635,81.53551551,1.114980976,-90.44925467,-5.648657844,-59.85556323,50.61077595,-273.1838441,-407.9460876,-70.6669775,-36.3561083,-12.09798846,-63.71027658,0,-73.59633509,105.3281167,0,,,
